ID,X,Y,Z,Type
149,0.491521,-0.0338282,0,1
150,0.507305,-0.0329923,0,1
151,0.523086,-0.03213,0,1
152,0.538847,-0.0312445,0,1
153,0.554573,-0.0303391,0,1
154,0.570249,-0.029417,0,1
155,0.585858,-0.0284811,0,1
156,0.601386,-0.0275343,0,1
157,0.616816,-0.0265793,0,1
158,0.632133,-0.0256186,0,1
159,0.647322,-0.0246545,0,1
160,0.662368,-0.0236895,0,1
161,0.677255,-0.0227255,0,1
162,0.691968,-0.0217645,0,1
163,0.706492,-0.0208085,0,1
164,0.720813,-0.019859,0,1
165,0.734916,-0.0189178,0,1
166,0.748787,-0.0179864,0,1
167,0.762412,-0.0170661,0,1
168,0.775776,-0.0161583,0,1
169,0.788866,-0.0152643,0,1
170,0.801669,-0.0143852,0,1
171,0.814172,-0.0135223,0,1
172,0.826361,-0.0126765,0,1
173,0.838223,-0.0118491,0,1
174,0.849748,-0.0110411,0,1
175,0.860923,-0.0102534,0,1
176,0.871735,-0.00948718,0,1
177,0.882175,-0.00874337,0,1
178,0.892231,-0.00802301,0,1
179,0.901893,-0.0073271,0,1
180,0.91115,-0.00665667,0,1
181,0.919993,-0.00601272,0,1
182,0.928413,-0.00539626,0,1
183,0.9364,-0.00480831,0,1
184,0.943947,-0.00424985,0,1
185,0.951045,-0.00372187,0,1
186,0.957687,-0.00322535,0,1
187,0.963866,-0.00276123,0,1
188,0.969575,-0.00233042,0,1
189,0.974808,-0.0019338,0,1
190,0.97956,-0.00157219,0,1
191,0.983825,-0.0012464,0,1
192,0.987599,-0.000957121,0,1
193,0.990879,-0.000705023,0,1
194,0.99366,-0.000490686,0,1
195,0.995939,-0.000314612,0,1
196,0.997714,-0.000177221,0,1
197,0.998984,-7.88454e-005,0,1
198,0.999746,-1.97234e-005,0,1
199,1,1.66165e-017,0,1
200,1,-1.66165e-017,0,1
